UB Account Number,Service File Number,Acct Status,,UB Address,Zip (Lot),H.S. Service,UB Mapped - Private Side Verification Method,UB Mapped - Public Side Verification Method,H.S. Verification Method,S.S. Service,UB Private Side,UB Utility Side,UB SL Category,S.S. Verification Method,S.S. Previously Lead?,UB Account Type,
008791-000,6088,Active,,634 LAFAYETTE AV,10552,COPPER,Field Inspection,Records,Field Inspection,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
008792-000,2947,Active,,638 LAFAYETTE AV,10552,Unknown,Not Verified,Excavation,Not Verified,Copper,Unknown,Non-Lead,Unknown,Excavation,Yes,Billable,1
008793-000,3343,Active,,646 LAFAYETTE AV,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
008794-000,6155,Active,,652 LAFAYETTE AV,10552,Copper,Field Inspection,Records,Field Inspection,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
008795-000,6044,Active,,654 LAFAYETTE AV,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
008796-000,5973,Active,,663 LAFAYETTE AV,10552,Copper,Field Inspection,Records,Field Inspection,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
008797-000,12533,Active,,657 LAFAYETTE AV,10552,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
008798-000,6043,Active,,655 LAFAYETTE AV,10552,Unknown,Not Verified,Excavation,Not Verified,Copper,Unknown,Non-Lead,Unknown,Excavation,No,Billable,1
008799-000,6577,Active,,651 LAFAYETTE AV,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
008800-000,3672,Active,,645 LAFAYETTE AV,10552,Copper,Field Inspection,Records,Field Inspection,Copper,Non-Lead,Non-Lead,Non-Lead,Records,Unknown,Billable,1
008801-000,5860,Active,,643 LAFAYETTE AV,10552,COPPER,Field Inspection,Records,Field Inspection,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
008802-000,6406,Active,,641 LAFAYETTE AV,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
008803-000,8081,Active,,635 LAFAYETTE AV,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
008804-000,8413,Active,,631 LAFAYETTE AV,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
008805-000,5693,Active,,625 LAFAYETTE AV,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
008806-000,11759,Active,,621 LAFAYETTE AV,10552,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
008807-000,11238,Active,,607 LAFAYETTE AV,10552,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
008808-000,6056,Active,,624 HANOVER PL,10552,Copper,Field Inspection,Records,Field Inspection,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
008809-000,6360,Active,,626 HANOVER PL,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
008810-000,6057,Active,,630 HANOVER PL,10552,copper,Field Inspection,Records,Field Inspection,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
008811-000,4615,Active,,632 HANOVER PL,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
008812-000,5999,Active,,636 HANOVER PL,10552,copper,Field Inspection,Records,Field Inspection,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
008813-000,6072,Active,,644 HANOVER PL,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
008814-000,2226,Active,,648 HANOVER PL,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
008815-000,6117,Active,,650 HANOVER PL,10552,copper,Field Inspection,Records,Field Inspection,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
008816-000,1922,Active,,656 HANOVER PL,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
008818-000,1897,Active,,660 HANOVER PL,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
008819-000,6098,Active,,637 HANOVER PL,10552,Copper,Field Inspection,Records,Field Inspection,Copper,Non-Lead,Non-Lead,Non-Lead,Records,Unknown,Billable,1
008820-000,210,Active,,633 HANOVER PL,10552,Lead,Records,Records,Records,Copper,Lead,Non-Lead,Lead,Records,Unknown,Billable,1
008821-000,6073,Active,,629 HANOVER PL,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
008822-000,6193,Active,,625 HANOVER PL,10552,Unknown,Not Verified,Excavation,Not Verified,Copper,Unknown,Non-Lead,Unknown,Excavation,Yes,Billable,1
008823-000,6030,Active,,623 HANOVER PL,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
008824-000,5180,Active,,200 STATION PL,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
008825-000,6182,Active,,212 STATION PL,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
008826-000,6181,Active,,216 STATION PL,10552,Copper,Field Inspection,Records,Field Inspection,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
008827-000,7568,Active,,204 BRADLEY AV,10552,Lead,Records,Records,Records,Copper,Lead,Non-Lead,Lead,Records,Unknown,Billable,1
008828-000,5865,Active,,220 BRADLEY AV,10552,Lead,Records,Records,Records,Copper,Lead,Non-Lead,Lead,Records,Unknown,Billable,1
008829-000,5935,Active,,224 BRADLEY AV,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
008830-000,6761,Active,,232 BRADLEY AV,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
008831-000,6347,Active,,230 BRADLEY AV,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
008832-000,6738,Active,,242 BRADLEY AV,10552,copper,Field Inspection,Excavation,Field Inspection,Copper,Non-Lead,Non-Lead,Non-Lead,Excavation,Yes,Billable,1
008833-000,8033,Active,,246 BRADLEY AV,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
008834-000,6198,Active,,250 BRADLEY AV,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
008835-000,8885,Active,,252 BRADLEY AV,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
008836-000,11037,Active,,55 BRADLEY AV,10552,Cast Iron,Field Inspection,Records,Field Inspection,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
008838-000,12093,Active,,55 BRADLEY AV,10552,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
008839-000,11036,Active,,55 BRADLEY AV,10552,Cast iron,Field Inspection,Records,Onsite Verification,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
008842-000,12094,Active,,55 BRADLEY AV,10552,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
008843-000,9648,Suspended,,55 BRADLEY AV,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
008844-000,12095,Active,,55 BRADLEY AV,10552,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
008845-000,9459,Delete,,55 BRADLEY AV,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
008846-000,12096,Active,,55 BRADLEY AV,10552,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
008847-000,6311,Active,,55 BRADLEY AV,10552,Copper,Field Inspection,Records,Onsite Verification,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
008848-000,12097,Active,,55 BRADLEY AV,10552,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
008849-000,10220,Active,,55 BRADLEY AV,10552,Cast iron,Field Inspection,Records,Onsite Verification,Copper,Non-Lead,Non-Lead,Non-Lead,Records,Unknown,Billable,1
008850-000,12098,Active,,55 BRADLEY AV,10552,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
008851-000,10657,Delete,,55 BRADLEY AV,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
008852-000,12301,Active,,55 BRADLEY AV,10552,Cast Iron,Field Inspection,Not Verified,Onsite verification,Unknown,Non-Lead,Unknown,Unknown,Not Verified,Unknown,Billable,1
008853-000,11786,Delete,,55 BRADLEY AV,10552,Unknown,Not Verified,Records,Not Verified,Iron,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
008854-000,12099,Active,,55 BRADLEY AV,10552,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
008855-000,11912,Active,,55 BRADLEY AV,10552,Cast iron,Field Inspection,Not Verified,Field Inspection,Unknown,Non-Lead,Unknown,Unknown,Not Verified,Unknown,Billable,1
008856-000,12016,Active,,55 BRADLEY AV,10552,Cast iron,Field Inspection,Not Verified,Field Inspection,Unknown,Non-Lead,Unknown,Unknown,Not Verified,Unknown,Billable,1
008858-000,12318,Active,,55 BRADLEY AV,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
008859-000,6773,Active,,251 BRADLEY AV,10552,copper,Field Inspection,Records,Field Inspection,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
008860-000,8029,Active,,215 BRADLEY AV,10552,Copper,Records,Records,Records,Copper,Non-Lead,Non-Lead,Non-Lead,Records,Unknown,Billable,1
008861-000,8374,Active,,205 BRADLEY AV,10552,Lead,Field Inspection,Records,Onsite Verification,Copper,Lead,Non-Lead,Lead,Records,Unknown,Billable,1
008862-000,12112,Active,,180 PEARSALL DR,10552,Cast Iron,Field Inspection,Not Verified,Field Inspection,Unknown,Non-Lead,Unknown,Unknown,Not Verified,Unknown,Billable,1
008863-000,10704,Active,,180 PEARSALL DR,10552,Cast Iron,Field Inspection,Records,Field Inspection,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
008865-000,10699,Active,,166 PEARSALL DR,10552,Copper,Field Inspection,Records,Field Inspection,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
008867-000,10700,Active,,154 PEARSALL DR,10552,Copper,Field Inspection,Records,Field Inspection,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
008869-000,10693,Delete,,9999 PEARSALL DR,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
008870-000,10694,Delete,,118 PEARSALL DR,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
008871-000,12113,Active,,110 PEARSALL DR,10552,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
008872-000,10708,Active,,98 PEARSALL DR,10552,Copper,Field Inspection,Records,Onsite Verification,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
008873-000,10718,Delete,, PEARSALL DR,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
008874-000,12114,Active,,104 PEARSALL DR,10552,Copper,Field Inspection,Not Verified,Field Inspection,Unknown,Non-Lead,Unknown,Unknown,Not Verified,Unknown,Billable,1
008875-000,12115,Active,,104A PEARSALL DR,10552,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
008876-000,11876,Active,,67 LORRAINE TER,10553,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
008877-000,11877,Active,,47 LORRAINE TER,10553,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
008878-000,11888,Active,,7 LORRAINE TER,10553,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
008879-000,10707,Active,,161 PEARSALL DR,10552,Copper,Field Inspection,Records,Field Inspection,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
008881-000,10706,Active,,171 PEARSALL DR,10552,Copper,Field Inspection,Records,Field Inspection,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
008883-000,10950,Active,,25 ALTA PKWY,10552,Copper,Field Inspection,Not Verified,Field Inspection,Unknown,Non-Lead,Unknown,Unknown,Not Verified,Unknown,Billable,1
008884-000,10951,Active,,35 ALTA PKWY,10552,Copper,Field Inspection,Records,Field Inspection,Copper,Non-Lead,Non-Lead,Non-Lead,Records,Unknown,Billable,1
008885-000,11004,Active,,45 ALTA PKWY,10552,copper,Field Inspection,Records,Field Inspection,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
008886-000,10528,Active,,70 LA BELLE RD,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
008887-000,10899,Active,,60 LA BELLE RD,10552,copper,Field Inspection,Records,Field Inspection,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
008888-000,10969,Active,,54 LA BELLE RD,10552,Copper,Customer Identification with Photo or Other Verification,Not Verified,Customer Identification,Unknown,Non-Lead,Unknown,Unknown,Not Verified,Unknown,Billable,1
008889-000,10901,Active,,46 LA BELLE RD,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
008890-000,10900,Active,,40 LA BELLE RD,10552,copper,Field Inspection,Records,Field Inspection,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
008891-000,10970,Active,,32 LA BELLE RD,10552,Copper,Field Inspection,Not Verified,Field Inspection,Unknown,Non-Lead,Unknown,Unknown,Not Verified,Unknown,Billable,1
008892-000,9844,Active,,24 LA BELLE RD,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
008893-000,10297,Active,,71 LA BELLE RD,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
008894-000,12349,Active,,63 LA BELLE RD,10552,Copper,Field Inspection,Not Verified,Field Inspection,Unknown,Non-Lead,Unknown,Unknown,Not Verified,Unknown,Billable,1
008895-000,9968,Active,,61 LA BELLE RD,10552,Copper,Field Inspection,Records,Field Inspection,Copper,Non-Lead,Non-Lead,Non-Lead,Records,Unknown,Billable,1
008896-000,9843,Active,,57 LA BELLE RD,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
008897-000,10227,Active,,51 LA BELLE RD,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
008898-000,9848,Active,,45 LA BELLE RD,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
008899-000,9847,Active,,39 LA BELLE RD,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
008900-000,9846,Active,,33 LA BELLE RD,10552,Copper,Field Inspection,Records,Field Inspection,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
008901-000,9845,Active,,29 LA BELLE RD,10552,Copper,Field Inspection,Records,Field Inspection,Copper,Non-Lead,Non-Lead,Non-Lead,Records,Unknown,Billable,1
008902-000,10822,Active,,25 LA BELLE RD,10550,Copper,Customer Identification with Photo or Other Verification,Records,Customer Identification,Copper,Non-Lead,Non-Lead,Non-Lead,Records,Unknown,Billable,1
008903-000,9849,Active,,26 ALTA DR,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
008904-000,9850,Active,,30 ALTA DR,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
008905-000,9851,Active,,34 ALTA DR,10552,lead,Field Inspection,Records,Field Inspection,Lead,Lead,Lead,Lead,Records,Yes,Billable,1
008906-000,9852,Active,,38 ALTA DR,10552,Copper,Field Inspection,Records,Field Inspection,Copper,Non-Lead,Non-Lead,Non-Lead,Records,Unknown,Billable,1
008907-000,9842,Active,,50 ALTA DR,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
008908-000,9942,Active,,54 ALTA DR,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
008909-000,10305,Active,,70 ALTA DR,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
008910-000,10307,Active,,76 ALTA DR,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
008912-000,10291,Active,,82 ALTA DR,10552,Copper,Field Inspection,Records,Field Inspection,Copper,Non-Lead,Non-Lead,Non-Lead,Records,Unknown,Billable,1
008913-000,10302,Active,,3 ALTA PKWY,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
008914-000,10689,Active,,79 ALTA DR,10552,copper,Field Inspection,Records,Field Inspection,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
008915-000,10952,Active,,73 ALTA DR,10552,Copper,Field Inspection,Not Verified,Field Inspection,Unknown,Non-Lead,Unknown,Unknown,Not Verified,Unknown,Billable,1
008916-000,9975,Active,,69 ALTA DR,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
008917-000,9860,Active,,67 ALTA DR,10552,copper,Field Inspection,Records,Field Inspection,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
008918-000,9859,Active,,61 ALTA DR,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
008919-000,9857,Active,,57 ALTA DR,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
008920-000,10990,Active,,51 ALTA DR,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
008921-000,10989,Active,,45 ALTA DR,10552,Copper,Field Inspection,Records,Field Inspection,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
008922-000,10988,Active,,43 ALTA DR,10552,copper,Field Inspection,Records,Field Inspection,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
008923-000,9853,Active,,39 ALTA DR,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
008924-000,9854,Active,,35 ALTA DR,10552,lead,Field Inspection,Records,Field Inspection,Lead,Lead,Lead,Lead,Records,Yes,Billable,1
008925-000,9855,Active,,31 ALTA DR,10552,copper,Field Inspection,Records,Field Inspection,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
008926-000,9856,Active,,27 ALTA DR,10552,copper,Field Inspection,Records,Field Inspection,Copper,Non-Lead,Non-Lead,Non-Lead,Records,Unknown,Billable,1
008927-000,5907,Active,,681 E LINCOLN AV,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
008928-000,9101,Active,,36 HUTCHINSON BLVD,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
008929-000,9102,Active,,40 HUTCHINSON BLVD,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
008930-000,9103,Active,,44 HUTCHINSON BLVD,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
008931-000,9104,Active,,48 HUTCHINSON BLVD,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
008932-000,9105,Active,,52 HUTCHINSON BLVD,10552,copper,Field Inspection,Records,Field Inspection,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
008933-000,9106,Active,,56 HUTCHINSON BLVD,10552,lead,Field Inspection,Records,Field Inspection,Lead,Lead,Lead,Lead,Records,Yes,Billable,1
008934-000,9107,Active,,60 HUTCHINSON BLVD,10552,Copper,Field Inspection,Records,Field Inspection,Copper,Non-Lead,Non-Lead,Non-Lead,Records,Unknown,Billable,1
008935-000,9108,Active,,62 HUTCHINSON BLVD,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
008936-000,9109,Active,,66 HUTCHINSON BLVD,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
008937-000,6122,Active,,70 HUTCHINSON BLVD,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
008938-000,7982,Active,,74 HUTCHINSON BLVD,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
008939-000,1620,Active,,94 HUTCHINSON BLVD,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
008940-000,7840,Active,,100 HUTCHINSON BLVD,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
008941-000,8523,Active,,104 HUTCHINSON BLVD,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
008942-000,11482,Active,,106 HUTCHINSON BLVD,10552,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
008943-000,1050,Active,,112 HUTCHINSON BLVD,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
008944-000,9159,Active,,116 HUTCHINSON BLVD,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
008945-000,9160,Active,,120 HUTCHINSON BLVD,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
008946-000,9161,Active,,124 HUTCHINSON BLVD,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
008947-000,9162,Active,,128 HUTCHINSON BLVD,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
008948-000,7742,Active,,132 HUTCHINSON BLVD,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
008949-000,7963,Active,,138 HUTCHINSON BLVD,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
008950-000,7912,Active,,144 HUTCHINSON BLVD,10552,copper,Field Inspection,Records,Field Inspection,Copper,Non-Lead,Non-Lead,Non-Lead,Records,Unknown,Billable,1
008951-000,7962,Active,,148 HUTCHINSON BLVD,10552,copper,Field Inspection,Records,Field Inspection,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
008952-000,7291,Active,,174 HUTCHINSON BLVD,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
008953-000,9075,Active,,178 HUTCHINSON BLVD,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
008954-000,6108,Active,,182 HUTCHINSON BLVD,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
008955-000,9020,Active,,190 HUTCHINSON BLVD,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
008956-000,7702,Active,,196 HUTCHINSON BLVD,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
008957-000,2960,Active,,200 HUTCHINSON BLVD,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
008958-000,6348,Active,,206 HUTCHINSON BLVD,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
008959-000,6120,Active,,212 HUTCHINSON BLVD,10552,Unknown,Not Verified,Excavation,Not Verified,Copper,Unknown,Non-Lead,Unknown,Excavation,Yes,Billable,1
008960-000,7699,Active,,222 HUTCHINSON BLVD,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
008961-000,11432,Active,,226 HUTCHINSON BLVD,10552,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
008962-000,6116,Active,,230 HUTCHINSON BLVD,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
008963-000,7091,Active,,238 HUTCHINSON BLVD,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
008964-000,11049,Active,,244 HUTCHINSON BLVD,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
008965-000,38,Active,,248 HUTCHINSON BLVD,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
008966-000,10668,Active,,260 HUTCHINSON BLVD,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
008967-000,11247,Active,,266 HUTCHINSON BLVD,10552,Unknown,Not Verified,Not Verified,Not Verified,Unknown,Unknown,Unknown,Unknown,Not Verified,Unknown,Billable,1
008968-000,3676,Active,,272 HUTCHINSON BLVD,10552,Unknown,Not Verified,Records,Not Verified,Copper,Unknown,Non-Lead,Unknown,Records,Unknown,Billable,1
008969-000,7355,Active,,280 HUTCHINSON BLVD,10552,Copper,Customer Identification with Photo or Other Verification,Records,Customer Identification,Lead,Non-Lead,Lead,Lead,Records,Yes,Billable,1
008970-000,9651,Active,,284 HUTCHINSON BLVD,10552,Unknown,Not Verified,Records,Not Verified,Lead,Unknown,Lead,Lead,Records,Yes,Billable,1
